Timestamp,Raindrops on roses,Whiskers on kittens,Bright copper kettles,Warm woollen mittens,Brown paper packages tied up with string,Cream-colored ponies,Crisp apple strudels,Doorbells,Sleighbells,Schnitzel with noodles,Wild geese that fly with the moon on their wings,Girls in white dresses with blue satin sashes,Snowflakes that stay on my nose and eyelashes,Silver-white winters that melt into springs,How old are you?,How many children were in The Sound of Music von Trapp family?,What was the name of the youngest child?,How many of the children were boys?,How many times have you seen The Sound of Music?,The name of Captain von Trapp's housekeeper was...,The movie is set in...,Trivia score
3/11/19 22:58,4,5,3,5,5,1,5,3,4,2,3,4,2,4,44,6,Marta,2,2,Fraulein Schräder,Germany,1
4/11/19 0:00,5,7,4,1,6,4,7,2,5,6,6,7,2,3,41,7,Gretl,2,3,Fraulein Zeller,Austria,4
4/11/19 1:08,4,7,4,7,5,3,7,1,4,4,5,4,4,5,46,6,Gretl,2,3,Fraulien Gelber,Austria,3
4/11/19 1:09,4,7,4,7,5,3,7,1,4,4,5,4,4,5,46,6,Gretl,2,3,Fraulien Gelber,Austria,3
4/11/19 1:40,3,5,1,5,5,2,6,1,3,4,1,4,5,6,40,6,Gretl,2,3,Fraulein Schräder,Austria,3
4/11/19 2:30,7,4,6,1,7,3,5,5,5,7,7,7,6,3,42,8,Gretl,4,1,Fraulein Schmidt,Austria,3
4/11/19 2:48,3,5,3,4,7,3,7,2,3,3,7,5,7,7,37,7,Gretl,2,1,Fraulein Schmidt,Austria,5
4/11/19 2:54,5,5,7,2,5,4,6,4,5,5,6,6,7,6,40,9,Marta,4,4,Fraulein Schräder,Austria,1
4/11/19 4:11,4,4,6,5,7,5,6,2,5,2,6,2,6,7,41,7,Gretl,3,4,Fraulein Schmidt,Austria,4
4/11/19 5:07,6,6,6,4,5,7,5,4,7,3,2,5,3,4,30,7,Marta,3,1,Fraulien Gelber,Austria,2
4/11/19 5:11,3,5,7,7,6,1,5,2,5,7,3,2,5,4,40,9,Gretl,3,8,Fraulein Schmidt,Switzerland,2
4/11/19 5:12,6,5,6,7,4,2,7,2,3,4,6,5,6,7,54,9,Brigitta,3,2,Fraulien Gelber,Austria,1
4/11/19 5:56,5,2,4,7,5,1,7,3,5,5,6,2,5,4,40,8,Gretl,3,3,Fraulein Schräder,Austria,2
4/11/19 6:31,6,3,7,7,4,2,7,3,5,7,2,4,7,7,40,7,Gretl,2,4,Fraulein Zeller,Austria,4
4/11/19 6:57,5,7,,5,6,6,7,7,5,1,6,4,7,7,46,9,Gretl,2,5,Fraulien Gelber,Austria,3
4/11/19 7:31,4,2,5,7,5,3,7,5,5,2,5,5,7,7,44,7,Gretl,3,10,Fraulein Schräder,Austria,3
4/11/19 7:58,6,2,6,7,7,4,6,5,7,7,5,7,7,7,37,7,Gretl,2,12,Fraulein Schräder,Germany,3
4/11/19 8:03,5,2,4,5,6,1,1,1,1,1,3,2,3,4,55,7,Gretl,3,6,Fraulein Schräder,Austria,3
4/11/19 8:48,6,5,2,7,3,2,6,1,3,5,2,3,7,7,38,7,Gretl,2,10,Fraulein Schmidt,Austria,5
4/11/19 8:56,7,1,6,4,7,1,5,5,2,7,7,1,6,6,44,7,Gretl,3,4,Fraulein Schräder,Austria,3
4/11/19 9:14,7,5,3,2,2,1,7,3,2,5,7,2,2,6,29,7,Marta,3,0,Fraulein Schräder,Austria,2
4/11/19 9:19,5,5,1,6,7,4,6,1,4,5,7,3,6,7,36,7,Gretl,2,7,Fraulein Schmidt,Austria,5
4/11/19 10:17,5,7,3,2,7,7,1,1,5,5,2,5,7,7,33,9,Gretl,3,10,Fraulein Schmidt,Austria,3
4/11/19 11:02,5,7,6,7,6,5,7,2,4,2,4,2,7,5,47,7,Gretl,2,47,Fraulein Schräder,Austria,4
4/11/19 11:05,4,7,3,7,5,7,6,2,5,6,4,4,7,7,7,7,Gretl,2,9,Fraulein Schmidt,Austria,5
4/11/19 11:16,5,2,3,3,5,1,7,3,3,4,6,2,5,2,39,7,Brigitta,2,0,Fraulien Gelber,Austria,3
5/11/19 11:42,6,4,7,7,7,5,7,1,6,4,7,1,1,4,39,6,Liesl,3,3,Fraulein Schräder,Austria,1
9/12/19 7:57,7,7,7,7,4,6,7,1,1,4,7,1,4,7,48,7,Gretl,4,12,Fraulein Schräder,Austria,3
11/12/19 16:17,5,4,7,5,6,5,7,1,6,1,6,3,7,7,29,7,Brigitta,3,0,Fraulien Gelber,France,1
12/12/19 4:00,6,6,7,5,5,1,3,1,3,1,5,4,5,5,28,7,Gretl,2,2,Fraulein Schräder,Austria,4
13/1/20 17:32,7,7,6,6,5,4,7,3,5,1,4,5,5,5,28,7,Gretl,3,1,Fraulein Schmidt,Austria,4
14/1/20 21:03,1,7,5,2,6,3,5,5,3,6,7,2,1,5,44,7,Liesl,2,0,Fraulein Zeller,Austria,3
14/1/20 21:40,7,7,2,1,5,6,3,4,3,1,6,5,7,6,21,9,Gretl,4,4,Fraulein Schmidt,Austria,3
15/1/20 14:12,7,4,7,7,5,1,3,6,7,1,6,4,7,7,31,7,Brigitta,2,3,Fraulein Schmidt,Austria,4
20/1/20 12:26,7,7,7,1,7,3,7,1,1,1,7,2,7,6,36,7,Liesl,3,2,Fraulien Gelber,Austria,2
20/1/20 19:14,3,7,4,3,7,1,7,2,2,1,5,1,1,6,35,9,Gretl,3,1,Fraulein Schräder,Germany,1
23/1/20 19:40,7,5,4,6,6,7,4,4,4,4,5,4,6,6,,,,,,,,0
24/1/20 10:23,5,7,4,6,6,5,6,3,3,1,6,2,5,6,27,7,Liesl,3,2,Fraulein Schmidt,Austria,3
27/1/20 11:33,5,4,3,6,4,5,6,3,5,5,4,4,5,6,25,7,Brigitta,1,1,Fraulein Schmidt,Austria,3
28/1/20 10:53,7,7,5,6,5,5,7,3,3,5,7,6,7,5,29,7,Brigitta,2,0,Fraulein Schräder,Switzerland,2
28/1/20 21:19,4,4,4,5,6,4,4,3,4,6,4,5,4,7,31,9,Brigitta,4,1,Fraulein Schräder,Austria,1
